source_id,file,sheet,source_cell,raw_label,normalized_label,financial_year,reporting_month,period_start,period_end,period_granularity,measure_type,flow_or_stock,amount,source_unit,normalized_unit,estimate_status,accounting_basis,compatibility_group,publishable,quarantine_reason,citation_locator
federal_mfs_aggregates,data/raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,2000-01,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 July $m,Revenue,Revenue,2000-01,July,2000-07-01,2000-07-31,month,mfs_ytd_revenue,flow,13489000000.0,$m,AUD,actual,accrual,mfs_ytd_revenue,True,,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 July $m
federal_mfs_aggregates,data/raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,2000-01,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 YTD September $m,Revenue,Revenue,2000-01,September,2000-07-01,2000-09-30,month,mfs_ytd_revenue,flow,33474000000.0,$m,AUD,actual,accrual,mfs_ytd_revenue,True,,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 YTD September $m
federal_mfs_aggregates,data/raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,2000-01,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 YTD October $m,Revenue,Revenue,2000-01,October,2000-07-01,2000-10-31,month,mfs_ytd_revenue,flow,47438000000.0,$m,AUD,actual,accrual,mfs_ytd_revenue,True,,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 YTD October $m
federal_mfs_aggregates,data/raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,2000-01,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 YTD November $m,Revenue,Revenue,2000-01,November,2000-07-01,2000-11-30,month,mfs_ytd_revenue,flow,61614000000.0,$m,AUD,actual,accrual,mfs_ytd_revenue,True,,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 YTD November $m
federal_mfs_aggregates,data/raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,2000-01,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 YTD December $m,Revenue,Revenue,2000-01,December,2000-07-01,2000-12-31,month,mfs_ytd_revenue,flow,74078000000.0,$m,AUD,actual,accrual,mfs_ytd_revenue,True,,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 YTD December $m
federal_mfs_aggregates,data/raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,2000-01,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 YTD January $m,Revenue,Revenue,2000-01,January,2000-07-01,2001-01-31,month,mfs_ytd_revenue,flow,90887000000.0,$m,AUD,actual,accrual,mfs_ytd_revenue,True,,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 YTD January $m
federal_mfs_aggregates,data/raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,2000-01,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 YTD February $m,Revenue,Revenue,2000-01,February,2000-07-01,2001-02-28,month,mfs_ytd_revenue,flow,104176000000.0,$m,AUD,actual,accrual,mfs_ytd_revenue,True,,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 YTD February $m
federal_mfs_aggregates,data/raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,2000-01,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 YTD April $m,Revenue,Revenue,2000-01,April,2000-07-01,2001-04-30,month,mfs_ytd_revenue,flow,134363000000.0,$m,AUD,actual,accrual,mfs_ytd_revenue,True,,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 YTD April $m
federal_mfs_aggregates,data/raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,2000-01,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 YTD May $m,Revenue,Revenue,2000-01,May,2000-07-01,2001-05-31,month,mfs_ytd_revenue,flow,149654000000.0,$m,AUD,actual,accrual,mfs_ytd_revenue,True,,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Revenue | col: ACTUAL 2000-2001 YTD May $m
federal_mfs_aggregates,data/raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,2000-01,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Expenses | col: ACTUAL 2000-2001 July $m,Expenses,Expenses,2000-01,July,2000-07-01,2000-07-31,month,mfs_ytd_expense,flow,12308000000.0,$m,AUD,actual,accrual,mfs_ytd_expense,True,,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Expenses | col: ACTUAL 2000-2001 July $m
federal_mfs_aggregates,data/raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,2000-01,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Expenses | col: ACTUAL 2000-2001 YTD September $m,Expenses,Expenses,2000-01,September,2000-07-01,2000-09-30,month,mfs_ytd_expense,flow,38993000000.0,$m,AUD,actual,accrual,mfs_ytd_expense,True,,source_id:federal_mfs_aggregates | sheet:2000-01 | row:Expenses | col: ACTUAL 2000-2001 YTD September $m
